Age,Income,Education_Years,Credit_Score,Savings_Rate,Feature_X1,Feature_X2,Feature_X3,City,Target_Label
56,81832.3429551895,12,674.3800713771199,0.42099927644503077,-1.1437262073206618,0.5006657213812097,1.904136589573007,Abbottabad,0
69,65486.97890826721,16,593.5921369263272,0.3642453385808066,0.10855970577652314,0.04977368718096008,1.6259589153620633,Karachi,1
46,27209.4505106898,16,521.9695601329106,0.3882237232498623,-0.0332299906444608,0.007063158628176452,2.218780233448134,Abbottabad,0
32,42736.48890700623,18,737.2457328280145,0.32808091884053575,-0.2081168572725397,-0.6603211394734471,-0.1590452104000513,Karachi,0
60,69003.66723779934,16,715.0201177958661,0.08871438473485344,-0.12853751143893075,0.6988284202025348,0.29562448874709507,Gilgit,0
25,39384.958015718286,14,640.0824136220617,0.27251345944846916,-1.881849045497639,0.4209729443893898,-1.5166425494207911,Gilgit,0
38,56657.291422193426,14,834.6636996047666,0.4923348697622541,-0.5487249077409615,0.49201884799279927,1.4769344261182744,Gilgit,0
56,61619.510801440054,16,,0.46869403324855946,0.09284490114111471,-0.5260348426675804,-1.167779551267935,Karachi,0
36,36096.04292632875,16,497.44748290752614,0.021586867898505835,0.15985639199740037,-2.1533429198712444,0.2167755637626291,Islamabad,0
40,49107.119659072996,18,580.8091930118755,0.08240740786471856,-1.0276751409259581,1.0971527117536957,-1.097302527632844,Islamabad,0
28,1380.9898989639114,14,645.4413983644503,0.06586438672728095,1.2657078408647007,-0.47883745600840416,-0.5888668267386961,Abbottabad,0
28,34634.185379985654,14,674.3339449322692,0.36298995499264775,-0.8661748482145009,-0.8627757640431206,-0.8372624310497003,Abbottabad,1
41,46211.4777291026,12,625.876394214367,0.40889266492847254,0.9694572005267368,0.6934789119139937,-0.6078752606758179,Gilgit,1
53,31283.252270527257,18,685.2055396514297,0.10675568315533596,0.42719436187168486,-0.3920126399191296,-0.5391227031489786,Abbottabad,1
57,74486.16955897454,12,524.8460575809556,0.2529263464759145,-0.646227309843803,1.0599363840466218,-0.5482687949250771,Karachi,0
41,28547.87933059051,14,794.3764604073259,0.4203515140056,1.775310892609512,0.6170059495766975,0.8333339117803071,Karachi,0
20,43399.332699545244,18,641.7848821607431,0.3664007723831253,-1.19363683175648,0.6835693232004776,-1.10486279306252,Abbottabad,1
39,51961.10865929137,16,761.7295831588127,0.27111860274592414,0.9191541736100015,-1.3659557112005343,0.22054142701386686,Abbottabad,0
19,71619.09933599173,18,684.2725346377704,0.29517384522938644,1.0005823180429783,1.2119439853864005,1.2179591523055584,Abbottabad,1
41,28462.06773230841,16,695.6753219153784,0.25418027345814,-0.6706202090766449,0.26125053123385605,-0.513196364513396,Abbottabad,0
61,67447.45628232439,16,706.9767280232204,0.1487742256594103,1.3924653000643288,-0.36927713924620315,-0.7179188907476018,Gilgit,1
47,50153.4959152938,18,694.7708560017315,0.28251099642950805,-0.2500465145989528,0.14338846734225108,-0.23052462518025083,Gilgit,1
150,35277.37023428074,16,714.2722759867544,0.34444265102504534,0.28869362927985703,-1.77623523289832,1.1797252083607102,Abbottabad,1
19,56931.55211394906,12,782.9152530132432,0.43666145793040384,0.2603218387712207,0.40865281148067084,0.1941076309533577,Karachi,0
38,52985.895433602054,14,669.6521169701471,0.31814567698962404,-0.1343087414705478,-1.0293715081820716,-0.5312142946075985,Gilgit,1
50,40996.74684261808,16,720.9003757588512,0.380560768521579,0.8108082731597821,-1.3526702858435344,0.48387665118803974,Karachi,0
29,51047.031274850284,12,641.0264305712773,0.0800358174772865,0.793488720552213,-1.5223591862178911,-1.1022921498364233,Islamabad,0
39,44220.2960470736,16,794.0117215449472,0.23077873720989495,-1.7485319732381808,1.1126883749899252,0.681359510442948,Karachi,0
61,,14,582.360769794073,0.004665809913546648,1.3043402428781525,-0.6292633936927887,0.4086073077017676,Abbottabad,0
42,59931.9601178157,12,830.0940432910816,0.12333943226081151,-1.6624919880356743,1.5337277099164992,-0.3078084711388841,Islamabad,0
66,73790.25224218029,14,,0.3632308575565024,1.0325462043416573,-0.5358014630522978,-0.838585798447231,Gilgit,0
